shear_rate_temporal,shear_strain_temporal,shear_stress_temporal,viscosity
-7.3613093000000004e-06,-0.018396969,4.0918281e-07,-0.055585603
-6.9549721999999994e-06,-0.017384161999999998,3.8920317e-06,-0.5596042
-6.2766741e-06,-0.015689893,6.410728400000001e-06,-1.0213575000000001
-5.3509257e-06,-0.013375933000000001,7.619988499999999e-06,-1.4240504999999999
-4.2126825e-06,-0.010530321,7.3856091e-06,-1.7531843
-2.9061225000000003e-06,-0.0072640411,5.8035198e-06,-1.9969976999999999
-1.4829099e-06,-0.0037064981,3.1835492e-06,-2.1468258
-6.2998075e-21,4.9170177e-18,1.3427954999999999e-19,-21.314866000000002
1.4829099e-06,0.0037064981,-3.1835492e-06,-2.1468258
2.9061225000000003e-06,0.0072640411,-5.8035198e-06,-1.9969976999999999
4.2126825e-06,0.010530321,-7.3856091e-06,-1.7531843
5.3509257e-06,0.013375933000000001,-7.619988499999999e-06,-1.4240504999999999
6.2766741e-06,0.015689893,-6.410728400000001e-06,-1.0213575000000001
6.9549721999999994e-06,0.017384161999999998,-3.8920317e-06,-0.5596042
7.3613093000000004e-06,0.018396969,-4.0918281e-07,-0.055585603
7.4823108000000006e-06,0.018694803,3.532504e-06,0.47211404
7.3159129e-06,0.018273011000000002,7.3429084000000004e-06,1.00369
6.8710575e-06,0.017155019,1.0435451000000001e-05,1.5187546
6.1669699e-06,0.015390308,1.2315806999999999e-05,1.9970598000000002
5.2321010000000005e-06,0.013051418,1.2658061e-05,2.4193075
4.1028276e-06,0.010230280999999999,1.1356744000000001e-05,2.7680285
2.8219945e-06,0.0070342531,8.5463315e-06,3.0284720000000003
1.4373627e-06,0.0035820846000000003,4.5843597999999995e-06,3.1894245999999997
-1.9322939e-21,-6.2723634e-19,4.6122108e-19,-238.69095
-1.4373627e-06,-0.0035820846000000003,-4.5843597999999995e-06,3.1894245999999997
-2.8219945e-06,-0.0070342531,-8.5463315e-06,3.0284720000000003
-4.1028276e-06,-0.010230280999999999,-1.1356744000000001e-05,2.7680285
-5.2321010000000005e-06,-0.013051418,-1.2658061e-05,2.4193075
-6.1669699e-06,-0.015390308,-1.2315806999999999e-05,1.9970598000000002
-6.8710575e-06,-0.017155019,-1.0435451000000001e-05,1.5187546
-7.3159129e-06,-0.018273011000000002,-7.3429084000000004e-06,1.00369
-7.4823108000000006e-06,-0.018694803,-3.532504e-06,0.47211404
