shear_rate_temporal,shear_strain_temporal,shear_stress_temporal,viscosity
-6.3102778e-06,-0.016074233,1.0633947e-05,-1.6851789000000001
-5.967507400000001e-06,-0.015202838,1.3957347999999999e-05,-2.3388908
-5.3903074000000005e-06,-0.013732805,1.5831783e-05,-2.9370836
-4.5989957999999995e-06,-0.01171645,1.5903768e-05,-3.4580957999999997
-3.6231691e-06,-0.0092298326,1.4070204e-05,-3.883397
-2.5007412999999995e-06,-0.0063700551,1.0498358000000001e-05,-4.1980986
-1.2764696e-06,-0.0032513343,5.6053979e-06,-4.3913291
-3.2293130999999995e-21,5.0843923e-18,3.1526503999999995e-19,-97.626036
1.2764696e-06,0.0032513343,-5.6053979e-06,-4.3913291
2.5007412999999995e-06,0.0063700551,-1.0498358000000001e-05,-4.1980986
3.6231691e-06,0.0092298326,-1.4070204e-05,-3.883397
4.5989957999999995e-06,0.01171645,-1.5903768e-05,-3.4580957999999997
5.3903074000000005e-06,0.013732805,-1.5831783e-05,-2.9370836
5.967507400000001e-06,0.015202838,-1.3957347999999999e-05,-2.3388908
6.3102778e-06,0.016074233,-1.0633947e-05,-1.6851789000000001
6.408039e-06,0.016319853999999998,-6.4086599e-06,-1.0000969000000002
6.2599455e-06,0.015937893,-1.9375478000000003e-06,-0.30951512
5.8744783e-06,0.014950833,2.1140209e-06,0.35986531
5.2687063000000005e-06,0.013403387,5.171365599999999e-06,0.98152475
4.467308599999999e-06,0.011359687,6.8360695999999995e-06,1.5302434
3.5014443999999998e-06,0.008900040699999999,6.9443354e-06,1.9832773999999997
2.4075374e-06,0.0061175229,5.5891205e-06,2.3215093999999996
1.2260136000000002e-06,0.0031146215000000003,3.1023932e-06,2.530472
-9.2644229e-22,1.5393867999999998e-19,9.9250105e-20,-107.13037
-1.2260136000000002e-06,-0.0031146215000000003,-3.1023932e-06,2.530472
-2.4075374e-06,-0.0061175229,-5.5891205e-06,2.3215093999999996
-3.5014443999999998e-06,-0.008900040699999999,-6.9443354e-06,1.9832773999999997
-4.467308599999999e-06,-0.011359687,-6.8360695999999995e-06,1.5302434
-5.2687063000000005e-06,-0.013403387,-5.171365599999999e-06,0.98152475
-5.8744783e-06,-0.014950833,-2.1140209e-06,0.35986531
-6.2599455e-06,-0.015937893,1.9375478000000003e-06,-0.30951512
-6.408039e-06,-0.016319853999999998,6.4086599e-06,-1.0000969000000002
