-0.79336,-0.60875,0.00000
-0.00000,1.00000,0.00000
-0.00126,1.00000,0.00000
-0.00194,1.00000,0.00000
-0.00244,1.00000,0.00000
-0.00267,1.00000,0.00000
-0.00199,1.00000,0.00000
0.00088,1.00000,0.00000
0.00758,0.99997,0.00000
0.01977,0.99980,0.00000
0.03882,0.99925,0.00000
0.06584,0.99783,0.00000
0.10154,0.99483,0.00000
0.14622,0.98925,0.00000
0.19998,0.97980,0.00000
0.26181,0.96512,0.00000
0.33047,0.94382,0.00000
0.40523,0.91422,0.00000
0.48431,0.87490,0.00000
0.56663,0.82397,0.00000
0.65068,0.75936,0.00000
0.73210,0.68120,0.00000
0.80845,0.58857,0.00000
0.87684,0.48078,0.00000
0.93370,0.35806,0.00000
0.97506,0.22195,0.00000
0.99721,0.07460,0.00000
0.99671,-0.08110,0.00000
0.97080,-0.23989,0.00000
0.91770,-0.39728,0.00000
0.83681,-0.54750,0.00000
0.73010,-0.68334,0.00000
0.59781,-0.80163,0.00000
0.44562,-0.89522,0.00000
0.27953,-0.96014,0.00000
0.10300,-0.99468,0.00000
-0.07835,-0.99693,0.00000
-0.25804,-0.96613,0.00000
-0.42984,-0.90290,0.00000
-0.58911,-0.80805,0.00000
-0.73037,-0.68305,0.00000
-0.84636,-0.53261,0.00000
-0.93262,-0.36085,0.00000
-0.98499,-0.17264,0.00000
-0.99973,0.02339,0.00000
-0.97517,0.22145,0.00000
-0.91194,0.41032,0.00000
-0.81142,0.58446,0.00000
-0.67896,0.73418,0.00000
-0.52067,0.85376,0.00000
-0.34168,0.93981,0.00000
-0.14893,0.98885,0.00000
0.04872,0.99881,0.00000
0.24403,0.96977,0.00000
0.43003,0.90281,0.00000
0.59872,0.80096,0.00000
0.74471,0.66739,0.00000
0.86316,0.50492,0.00000
0.94739,0.32009,0.00000
0.99277,0.12006,0.00000
0.99615,-0.08770,0.00000
0.95644,-0.29193,0.00000
0.87439,-0.48523,0.00000
0.75506,-0.65566,0.00000
0.60234,-0.79824,0.00000
0.42405,-0.90564,0.00000
0.23053,-0.97307,0.00000
0.02968,-0.99956,0.00000
-0.17154,-0.98518,0.00000
-0.36568,-0.93074,0.00000
-0.54638,-0.83753,0.00000
-0.70592,-0.70829,0.00000
-0.83592,-0.54885,0.00000
-0.93122,-0.36447,0.00000
-0.98683,-0.16175,0.00000
-0.99881,0.04886,0.00000
-0.96572,0.25958,0.00000
-0.88929,0.45735,0.00000
-0.77205,0.63556,0.00000
-0.62124,0.78362,0.00000
-0.44533,0.89537,0.00000
-0.25067,0.96807,0.00000
-0.04591,0.99895,0.00000
0.16011,0.98710,0.00000
0.35755,0.93389,0.00000
0.53945,0.84202,0.00000
0.69902,0.71510,0.00000
